quote,entry,rating
Delicious dinner!,The food at Bayleaf is spectacular and only beaten by the incredibly friendly and caring service. We ordered the Momos to start which came on a spectacular bed of dry ice that really added a moment of drama to the dinner! The Momos were delicious...More,5
Excellent,The food was excellent and the portion size were very generous. A very good night with tremendous service. Will certainly be back,5
Delicious,"Came here for a birthday dinner. Massive portions, great flavour. Fast service and a great atmosphere. Will defo be backMore",5
Mr,"Lovely restaurant with a great vibe. Service was amazing along with the food. Thoroughly enjoyed, would recommend!",5
Delicious food,Came out with the girls for a meal and it was absolutely delicious .  This is my 4th visit here and we thoroughly enjoyed our night.  Friendly staff and good quality food . It is more pricy then your average Asian restaurant but I have...More,5
Lovely dinner,Food was excellent as usual and the staff was very friendly and helpful. Really enjoyed our family dinner,5
Lovely restaurant and people,"We came here for our weekly date night and it didn’t disappoint! Completely blown away by the food and superb service! Will definitely be visiting again <3 

We had momo’s, butter chicken, kasundi salmon tikka with rice. All delicious! And the crispiest, fluffiest naan bread!...More",5
Lara,Came as couple during the week after work .very pleasant environment.Very professional and polite staff .food is amazing .would definitely comebackMore,5
Great Birthday Dinner Date,"Partner surprised me with a lovely meal here. From the moment we walked, we were made to feel very welcome. Staff are all very attentive & food is well worth coming here for!! 
Surprised with a birthday dessert, which was a nice touch.
Thank you...More",5
Lovely food and drinks,Lovely food and friendly staff. a lovely dinner and will be coming back again to try more of the menu. Loved the fancy cocktail.,5
Bayleaf,"Excellent service! Nice and polite staff, they were very attentive and food was amazing. Had a great time",5
Lovely place,A lovely place with the most wonderful people working there. Mitra gave us a great service and we had a great talk with the owner. 100% recomended,5
Gastronomical delight & Wonderful hostess!!,"It is rare that every dish is perfectly made and so delectable, you don’t want to waste even a tiny bit. Amazing service and quality. Highly recommend the restaurant!! Thank you for making our afternoon so special 🙏🏼More",5
Flavourful food and Wonderful service,"Wonderful food, amazing flavours with a variety of dishes. The service is precise, the food was on time and fresh, packed with flavour. Staff are wonderful and friendly and make you feel welcome. Waitress Mitra was lovely and delightful as our server. Would definitely come...More",4
Sarah Chowdhury,"A wonderful experience, lovely staff and was a memorable time. The food was amazing and was given in a very nice and unique way.
Absolutely amazing 
Thanks you soo much 💖💖💖💖😁😁",5
Eid celebrations,Excellent  service ambience excellent food is out of this world. We where a mixed aged family group of 7 people each of us tried different dishes fish meat and chicken all with a selection of pompadons and various chutneys    My granddaughter who is 12 years...More,5
Outstanding! The best!!,"I travelled 3 and a half hours to visit this resturant on a special occasion, Eid! And boy it was worth the drive!!! The best food I have ever tasted, I have travelled the globe and never tasted food as good. Not only was the...More",5
Pauls birthday treat,"Amazing find! 
Outstanding service, food, presentation a perfect meal! We will be back it’s more friends!",5
Fantastic service and great food,A few times now both takeaways and dine ins.. the care and attention stands out. This is a restaurant that puts service first.  Quality of food is fresh tasty and satisfyingMore,5
Excellent service and brilliant food,"The food was lovely, the prawn starter for 2 was theatrical and tasted as good as it looked and the cocktails are well made with plenty of alcohol. Just how I like it. 

 The decor is beautiful,  elegant and relaxed, 
 The presentation and service is...More",4
Great first experience,"I went here as I saw a few Tik Tok videos with great reviews. My partners birthday was coming up and thought we would go and experience it for ourselves. 

I would recommend!More",5
👍🏻👍🏻👍🏻,Excellent food and service - Thank you. The naans are delicious and we loved the Tandoori Jingha!!!!,5
Amazing experience,"10/10. Food was incredible, service was even better! Mitra was especially lovely:)  Highly recommend to anyone looking for a lovely meal in Whetstone.",5
Lovely birthday dinner,"I went to Bayleaf for my friend’s birthday. The food was so tasty and amazing presented. I loved the place. A big shout out to the amazing staff. Lovely, professional and they really care about costumers. I really enjoyed my time there. Thank you so...More",5
Amazing birthday dinner at Bayleaf!,"First time trying this restaurant after all the amazing reviews and it certainly met its high award winning expectations! Perfect service, food and ambience will definitely return. Special shout out to Mitra for making us have an amazing experience!More",5
Surprise Magic!,"Wonderful wonderful service. we had porn star martinis and momos both with some fun science experiment-esque smoke- a big surprise! And the food was delicious all around! Kale appetizer, butter chicken, and garlic naan were top of top!More",5
